seller_id,seller_state,seller_city,orders,avg_delivery_risk_score,late_delivery_rate,total_revenue,total_freight
ec933281fb017b5020d06df29c3f77e8,SP,sao paulo,8,13.35,0.0,1432.0,230.85
c37b2059d4f90d4feead554e5246565e,SP,sao paulo,11,13.35,0.2727,1072.3,317.84
67883baaae6134ee81b271a542613728,SP,sao paulo,19,13.35,0.1579,8167.9,328.12
c4fb51fb1c5b7c07bc5e67be6e7e8f6e,PR,curitiba,15,13.25,0.1333,1567.9,558.71
23a0ffca143a15b9b5bbdb7d552f626a,SP,sao pedro,22,13.22,0.1364,3548.52,545.75
5bc55dbe2f12b6af6d83ed46023e0dc8,MG,coronel fabriciano,16,13.18,0.25,3046.89,437.49
5b581417df4480f632484ba681e53944,SC,florianopolis,11,13.16,0.2727,1641.6,572.41
e7d5b006eb624f13074497221eb37807,SP,santo andre,28,13.16,0.0714,3478.93,741.49
e5a3438891c0bfdb9394643f95273d8e,SP,limeira,213,13.13,0.1878,7478.56,3265.72
04fdea0c111866e6cf812f1570d6b5bd,SP,sao paulo,8,13.12,0.125,865.0,173.35
be8e909810184b9b19e886129149d8e5,SP,piracicaba,15,13.11,0.2,629.85,216.23
55bb6fe5bebe5012e2d7d9928e1128ff,SP,bauru,15,13.06,0.1333,1816.55,576.47
f35b3c613c4f7b2275f4185d0a3c59ec,SP,sao paulo,9,13.03,0.2222,4047.25,167.04
c826c40d7b19f62a09e2d7c5e7295ee2,SP,guarulhos,344,13.01,0.0959,44407.06,5401.35
3c03b12bab54d8b37d79d914bfdb1aa0,RJ,sao joao de meriti,37,13.0,0.1622,4460.34,721.33
b33e7c55446eabf8fe1a42d037ac7d6d,SP,pradopolis,148,12.97,0.1284,44364.98,2699.8
ef990a83bbea832f36ebe81376335aa8,SC,joinville,41,12.9,0.2683,4639.0,1047.22
973f21788dfab357250f69a8dcb7ddee,MG,claudio,8,12.78,0.625,699.0,397.5
8f54d64f28a993550aa7943f12572959,MG,ipatinga,15,12.77,0.0667,2755.5,377.62
1b7e5006cb25dd23ce8686691013b121,SP,sao paulo,11,12.75,0.1818,2636.74,149.22
5f67c6082caacb26e431a7b17940cece,PR,maringa,13,12.72,0.3077,1662.6,208.43
bc07d855eac23aab5ac8a120f21d16b2,SP,mogi das cruzes,11,12.65,0.1818,1202.62,204.74
11bfa66332777660bd0640ee84d47006,SP,ribeirao preto,76,12.63,0.1579,3925.87,1682.67
8185694b58b2ba6de20fd41ae608bbea,SP,tabao da serra,8,12.62,0.0,1372.3,230.27
d57e18d5f73c7ccb7f7339b61166898d,SP,sao paulo,60,12.6,0.0333,3151.8,894.2
8f580d36c1e9d6fbce95283403c7d447,SP,ribeirao preto,8,12.59,0.125,4813.25,180.15
1f1bb1f0859883505541bdd6606193e5,SP,sao paulo,27,12.56,0.1111,16040.84,522.03
c6bda72e4dbf5c5866b13cb1810c6d03,SP,sao paulo,57,12.55,0.0351,14014.97,1155.38
f181738b150df1f37cb0bd72e705b193,SP,carapicuiba,36,12.53,0.1111,5549.6,1108.21
e84ad2127668df3aafc6b73531a0beb8,SP,sao paulo,19,12.51,0.0526,987.0,286.73
5c6d4016c2a288f074fa0848a2b653d2,SP,sao paulo,31,12.48,0.0968,3208.0,518.17
5b07547f10dd980738a1a27f685af669,SP,guarulhos,13,12.48,0.1538,1134.6,185.47
1d503743d2526f03f0c2c89540ee008c,SP,sao paulo,12,12.44,0.0833,516.04,204.49
b8555308bfdb4ca1ed54325a58da9a97,SP,sao bernardo do campo,26,12.41,0.0769,3047.2,582.83
5343d0649eca2a983820bfe93fc4d17e,SP,santo andre,67,12.4,0.1045,9979.57,2237.22
1fdc574883ef3b33ad41562d93f3a74a,SP,limeira,18,12.39,0.0556,4251.0,273.27
17908cf9b444ee34047cadd5c0f4a516,GO,anapolis,11,12.37,0.0909,1993.99,501.42
adbc26658d6c7b4b6219f9d934598091,PR,curitiba,88,12.33,0.1591,11935.39,1920.69
b6e1504972665f739dec4facb9943775,SP,piracicaba,14,12.33,0.0714,1484.48,225.89
0417b067eeab773d2f7061a726dc477f,SC,sao bento do sul,13,12.33,0.3077,1859.18,642.57
5b8154610ebb21fb90eb587365e673df,SP,sao jose dos campos,37,12.27,0.1081,9048.05,1048.67
a066df7361163e7ddc5d7452dd17448b,SP,franca,15,12.27,0.2,1078.3,266.32
ec8879960bd2221d5c32f8e12f7da711,SP,itatiba,35,12.27,0.1714,3957.5,798.76
17306570e772e7718c92a562d33f5f1d,SP,bariri,27,12.27,0.0741,8699.9,782.36
72bc2cce903c872fe376a8faaa81d237,SP,sao paulo,17,12.26,0.0,2149.2,255.77
977f9f63dd360c2a32ece2f93ad6d306,SP,tabatinga,18,12.25,0.1667,2357.38,802.26
b2479f944e1b90cf8a5de1bbfde284d6,SP,ibitinga,100,12.24,0.14,4771.31,2224.28
c8b0e2b0a7095e5d8219575d5e7e1181,SP,itaquaquecetuba,82,12.16,0.0732,11916.23,1479.97
1eade46fba20122dc4aefb379f8c636b,SP,sao paulo,58,12.13,0.1379,3635.37,1038.34
5b925e1d006e9476d738aa200751b73b,SP,sao paulo,63,12.12,0.0635,7748.5,1053.34
acadd4d36859671cb635527c6c977533,SP,santa rosa de viterbo,12,12.11,0.1667,2381.0,265.94
6973a06f484aacf400ece213dbf3d946,SP,sao jose dos campos,80,12.1,0.1875,9846.32,1198.37
6a0cbc8af2e8abd1bdfb777943d174c6,SP,batatais,34,12.08,0.0882,3788.15,729.0
5b2e94f2c22b39ccc24d34ad0f669672,SP,sao paulo,9,12.06,0.1111,883.78,356.38
e250d617a0ad591ba9bd663e584a895d,SP,guarulhos,8,12.05,0.0,968.02,305.07
2c9e548be18521d1c43cde1c582c6de8,SP,mogi das cruzes,124,12.0,0.1613,6068.55,2478.88
00ee68308b45bc5e2660cd833c3f81cc,SP,sao paulo,134,11.98,0.0896,20545.89,3287.62
0bf0150d5b9d60d9cd2906003332f085,SP,sao paulo,39,11.93,0.2051,5774.6,1097.74
1782ce2db72c3dda627d5e7c898104e1,SP,taboao da serra,9,11.9,0.1111,2010.8,207.37
c003204e1ab016dfa150abc119207b24,SP,cajamar,195,11.87,0.0667,24978.58,4759.16
17a053fcb14bd219540cbde0df490be0,SP,mogi guacu,122,11.87,0.082,39883.44,8694.19
ae8bfdbf1c2a2a2dee92d799db0a31c6,PR,toledo,8,11.86,0.0,339.92,146.22
d650b663c3b5f6fb392b6326366efa9a,SP,cotia,57,11.85,0.0702,18595.9,862.49
13074f016982ff2bd6c58ced8682f000,RS,bento goncalves,13,11.85,0.3077,1977.0,775.66
8bd0f31cf0a614c658f6763bd02dea69,SP,sao paulo,32,11.82,0.0312,4255.35,941.75
b87a7ea0c30fad2dd6781b74a0064859,SP,sao paulo,9,11.81,0.3333,515.4,122.35
817245bcc3badd82bbd222e0366951a6,SP,bauru,28,11.79,0.0357,5345.6,699.23
ff4ea69c2a729e83e63c7579e4ef8170,SP,guarulhos,8,11.75,0.0,6368.0,159.82
0dd184061fb0eaa7ca37932c68ab91c5,SP,guarulhos,157,11.74,0.121,18260.92,5277.26
900ba814c251a692506d7834c1218441,SP,salto,85,11.71,0.1412,28572.02,2297.23
ca4b77513ac2040591b0d8fae6958380,SP,sando andre,14,11.66,0.2143,1772.45,201.17
b17b679f4f5ce2e03ce6968c62648246,SP,ribeirao preto,50,11.64,0.18,3424.18,980.18
6c7d50c24b3ccd2fd83b44d8bb34e073,SP,presidente prudente,106,11.64,0.0189,8477.49,2667.51
bd23da7354813347129d751591d1a6e2,SP,sao paulo,84,11.62,0.0476,9605.79,1388.11
06579cb253ecd5a3a12a9e6eb6bf8f47,SP,sao paulo - sp,60,11.6,0.1333,4518.5,1408.13
8b321bb669392f5163d04c59e235e066,SP,sao paulo,923,11.59,0.104,17317.48,13839.47
7f2617c58d5d06806987308b45654351,SP,sao paulo,22,11.57,0.0909,3656.8,326.47
2a7dc43cecabf23403078e2188437d1d,SP,sao paulo,52,11.57,0.0769,4859.91,863.04
68f86ba270525243e68ae74044f992b9,RJ,rio de janeiro,10,11.54,0.1,777.5,186.7
723cd880edaacdb998898b67c8f9da30,SP,ibitinga,11,11.52,0.0909,2206.43,440.94
f84fa566034f5e8e880a07ec624c56af,SP,indaiatuba,89,11.49,0.1348,4993.91,1210.42
57fe6232e67823593374a2281d7a8af8,SP,capivari,8,11.45,0.0,178.68,105.36
d20b021d3efdf267a402c402a48ea64b,SP,ibitinga,78,11.44,0.1923,3861.28,1454.44
244c2f1bff6afe1f2eaf9bfe9b2aed38,SP,mogi das cruzes,23,11.42,0.087,2580.0,1214.87
fa1c13f2614d7b5c4749cbc52fecda94,SP,sumare,571,11.37,0.1033,190065.84,9861.23
5f2684dab12e59f83bef73ae57724e45,SP,sao paulo,67,11.35,0.0597,8870.97,1109.75
b2ac621f0d0322434d04a12b078b9369,PR,curitiba,29,11.32,0.1034,9445.6,772.2
289cdb325fb7e7f891c38608bf9e0962,SP,belo horizonte,107,11.31,0.0187,13756.94,2117.8
1f9ab4708f3056ede07124aad39a2554,SP,tupa,75,11.31,0.0533,13143.03,2332.29
7ddcbb64b5bc1ef36ca8c151f6ec77df,SP,sao paulo,325,11.3,0.0862,54655.56,7780.37
ec4608a1f76453166bb312b2968aeaf4,SP,porto ferreira,17,11.29,0.2353,2528.75,984.29
4c8b8048e33af2bf94f2eb547746a916,SP,ibitinga,17,11.28,0.1176,1571.15,358.67
c0563dd588b775f2e37747ef6ad6c92c,SP,santo andre,27,11.27,0.1111,3587.3,385.83
3bdff180c7e1f6551a643b99c265a120,SP,sao paulo,56,11.27,0.0536,3008.2,1003.88
7813ea3ebd9411dc600b4dd01f7a97b9,SP,osasco,9,11.26,0.1111,1599.4,146.59
e5a38146df062edaf55c38afa99e42dc,SP,sao paulo,119,11.23,0.0924,15231.09,1878.98
238fac594e170b59c6d228f5a4f4f1d9,SP,dois corregos,28,11.21,0.1071,3007.0,1370.89
55d3daac7c404d59e51c2aa2f4dc5a23,SP,sao paulo,21,11.2,0.0,4480.6,1309.88
e89c4adbe7b1d0819dbb636e16461cf1,SP,indaiatuba,24,11.19,0.125,3181.3,454.85
2e90cb1677d35cfe24eef47d441b7c87,SP,sao paulo,127,11.19,0.1339,13994.61,2922.36
50c9975695009e5e6473912e83a6d1da,MG,claudio,50,11.18,0.14,4034.3,2919.83
96493fab2fbb13a14d0c0e8772eef5c3,SP,sao paulo,63,11.18,0.0635,18969.0,1212.23
f680f85bee2d253556ac91be391d2c82,SP,carapicuiba,45,11.16,0.0222,5183.92,893.42
b33aaadd1a8891d2dfef0c4c3bdf0371,SP,limeira,16,11.16,0.125,1504.0,359.04
abe42c5d03695b4257b5c6cbf4e6784e,RJ,rio de janeiro,49,11.14,0.1633,17000.0,947.55
fe1b067411b8c5066e962aa146ccee03,SP,presidente prudente,8,11.12,0.0,847.78,143.1
